Dataset,Iterations,Fact Validation Approaches,Approaches Scores,#Approaches,Best Single Approach,Best Single Score,Experiment,Training AUC-ROC Min.,Training AUC-ROC Max.,Training AUC-ROC Mean,Training AUC-ROC Std. Dev.,Testing AUC-ROC Min.,Testing AUC-ROC Max.,Testing AUC-ROC Mean,Testing AUC-ROC Std. Dev.,Improvement
BPDP_Dataset,1,"degree_product, katz, kl_rel, ks, pathent, pra, predpath, simrank","{'degree_product': 0.49646526534074836, 'katz': 0.49665378452257525, 'kl_rel': 0.5131492129324158, 'ks': 0.5113582807050618, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",8,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0021,0.8492,0.8492,0.8492,0,0.719577717032708,0.719577717032708,0.719577717032708,0,0.00598548402299937
BPDP_Dataset,1,"jaccard, katz, ks, pathent, pra, predpath, simrank","{'jaccard': 0.5, 'katz': 0.49665378452257525, 'ks': 0.5113582807050618, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",7,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0051,0.8413,0.8413,0.8413,0,0.719106419078141,0.719106419078141,0.719106419078141,0,0.00551418606843235
BPDP_Dataset,1,"degree_product, katz, kl, ks, pathent, pra, predpath, simrank","{'degree_product': 0.49646526534074836, 'katz': 0.49665378452257525, 'kl': 0.4994815722499764, 'ks': 0.5113582807050618, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",8,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0037,0.9785,0.9785,0.9785,0,0.717598265623527,0.717598265623527,0.717598265623527,0,0.00400603261381849
BPDP_Dataset,1,"adamic_adar, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.5, 'kl_rel': 0.5131492129324158, 'ks': 0.5113582807050618, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",7,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0030,0.8952,0.8952,0.8952,0,0.296446413422566,0.296446413422566,0.296446413422566,0,-0.417145819587143
BPDP_Dataset,1,"adamic_adar, degree_product, katz, kl, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.5, 'degree_product': 0.49646526534074836, 'katz': 0.49665378452257525, 'kl': 0.4994815722499764, 'ks': 0.5113582807050618, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",9,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0036,0.8608,0.8608,0.8608,0,0.303327363559242,0.303327363559242,0.303327363559242,0,-0.410264869450467
BPDP_Dataset,1,"adamic_adar, degree_product, kl, pathent, pra, predpath, simrank","{'adamic_adar': 0.5, 'degree_product': 0.49646526534074836, 'kl': 0.4994815722499764, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",7,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0108,0.9383,0.9383,0.9383,0,0.307851823923084,0.307851823923084,0.307851823923084,0,-0.405740409086625
BPDP_Dataset,1,"degree_product, katz, kl, kl_rel, pathent, pra, predpath, simrank","{'degree_product': 0.49646526534074836, 'katz': 0.49665378452257525, 'kl': 0.4994815722499764, 'kl_rel': 0.5131492129324158, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",8,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0069,0.9185,0.9185,0.9185,0,0.33622396078801,0.33622396078801,0.33622396078801,0,-0.377368272221699
BPDP_Dataset,1,"degree_product, kl, kl_rel, ks, pra, predpath, simrank","{'degree_product': 0.49646526534074836, 'kl': 0.4994815722499764, 'kl_rel': 0.5131492129324158, 'ks': 0.5113582807050618, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",7,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0141,0.8823,0.8823,0.8823,0,0.340182863606372,0.340182863606372,0.340182863606372,0,-0.373409369403337
BPDP_Dataset,1,"jaccard, katz, kl_rel, ks, pra, predpath, simrank","{'jaccard': 0.5, 'katz': 0.49665378452257525, 'kl_rel': 0.5131492129324158, 'ks': 0.5113582807050618, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",7,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0147,0.9316,0.9316,0.9316,0,0.346403996606655,0.346403996606655,0.346403996606655,0,-0.367188236403054
BPDP_Dataset,1,"jaccard, ks, pathent, pra, predpath, simrank","{'jaccard': 0.5, 'ks': 0.5113582807050618, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",6,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0059,0.8575,0.8575,0.8575,0,0.375058912244321,0.375058912244321,0.375058912244321,0,-0.338533320765388
